,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
108,Vanderbilt,SEC (East),3,4,.429,1,3,.250,18.0,16.3,-0.06,0.79,,,,
109,Missouri,SEC (East),4,4,.500,1,4,.200,14.9,12.5,1.49,-0.01,24,21,,
110,South Carolina,SEC (East),3,4,.429,1,4,.200,20.4,26.3,-1.01,3.71,,,,
,,,,,,,,,,,,,,,,
111,Louisiana State,SEC (West),7,0,1.000,4,0,1.000,38.9,22.6,19.63,3.20,14,4,,
112,Alabama,SEC (West),7,1,.875,4,1,.800,33.5,16.4,21.24,6.12,3,2,,
113,Mississippi,SEC (West),6,2,.750,3,1,.750,41.0,19.8,10.60,1.47,17,3,,
114,Mississippi State,SEC (West),6,2,.750,2,2,.500,35.1,17.8,14.01,1.26,,21,,
115,Texas A&M,SEC (West),5,2,.714,2,2,.500,31.7,24.1,12.50,6.21,,9,,
116,Arkansas,SEC (West),3,4,.429,2,2,.500,28.1,26.4,6.91,6.76,18,18,,
117,Auburn,SEC (West),4,3,.571,1,3,.250,28.4,29.7,2.10,2.82,6,6,,
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
118,Appalachian State,Sun Belt,6,1,.857,3,0,1.000,38.0,12.0,8.25,-7.18,,,,
119,Georgia Southern,Sun Belt,5,2,.714,3,1,.750,36.4,26.0,5.09,-5.48,,,,
120,Arkansas State,Sun Belt,4,3,.571,3,0,1.000,34.0,31.3,-0.80,-2.37,,,,
121,Idaho,Sun Belt,3,4,.429,2,2,.500,25.6,37.7,-10.02,-2.73,,,,
122,Georgia State,Sun Belt,2,4,.333,1,1,.500,24.8,35.5,-15.78,-8.45,,,,
123,Louisiana-Lafayette,Sun Belt,2,4,.333,1,1,.500,30.2,33.2,-6.74,-4.07,,,,
124,Texas State,Sun Belt,2,4,.333,1,1,.500,34.3,44.2,-7.75,-1.92,,,,
125,South Alabama,Sun Belt,3,4,.429,1,2,.333,23.1,37.7,-11.70,-3.13,,,,
126,Troy,Sun Belt,2,5,.286,1,2,.333,24.4,26.9,-9.55,-4.13,,,,
127,Louisiana-Monroe,Sun Belt,1,6,.143,0,3,.000,20.4,36.6,-11.22,1.93,,,,
128,New Mexico State,Sun Belt,0,7,.000,0,3,.000,22.4,49.0,-20.42,-3.42,,,,
